157.55.39.5 - - [11/Oct/2019:08:53:45 +0200] "GET /robots.txt HTTP/1.1" 301 600 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.86 - - [11/Oct/2019:08:54:00 +0200] "GET / HTTP/1.1" 301 580 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
193.147.79.191 - - [11/Oct/2019:09:01:48 +0200] "GET /admin/ HTTP/1.1" 200 5032 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:48 +0200] "GET /static/admin/css/fonts.css HTTP/1.1" 200 573 "https://kibotics.org/static/admin/css/base.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:48 +0200] "GET /favicon.ico HTTP/1.1" 404 16812 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:48 +0200] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 677 "https://kibotics.org/static/admin/css/base.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:50 +0200] "GET /admin/jderobot_kids/code/ HTTP/1.1" 200 6342 "https://kibotics.org/admin/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:50 +0200] "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 24162 "https://kibotics.org/admin/jderobot_kids/code/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:50 +0200] "GET /admin/jsi18n/ HTTP/1.1" 200 7564 "https://kibotics.org/admin/jderobot_kids/code/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.147.79.191 - - [11/Oct/2019:09:01:50 +0200] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 677 "https://kibotics.org/static/admin/css/base.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:69.0) Gecko/20100101 Firefox/69.0"
193.145.147.51 - - [11/Oct/2019:09:22:14 +0200] "GET / HTTP/1.1" 301 515 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
193.145.147.51 - - [11/Oct/2019:09:22:15 +0200] "GET / HTTP/1.1" 200 72511 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:57.0) Gecko/20100101 Firefox/57.0"
40.77.167.209 - - [11/Oct/2019:09:24:38 +0200] "GET /index HTTP/1.1" 404 20520 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
37.134.202.38 - - [11/Oct/2019:09:30:03 +0200] "GET / HTTP/1.1" 200 13875 "-" "python-requests/2.12.4"
37.134.202.38 - - [11/Oct/2019:09:30:04 +0200] "\n" 400 3245 "-" "-"
37.134.202.38 - - [11/Oct/2019:09:30:04 +0200] "\n" 400 3245 "-" "-"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET / HTTP/1.1" 200 13891 "https://www.google.es/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 19731 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 5896 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/plugins/retina/retina.min.js HTTP/1.1" 200 1657 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/hover/hover.min.css HTTP/1.1" 200 3855 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.carousel.css HTTP/1.1" 200 953 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.theme.css HTTP/1.1" 200 1029 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/owl.carousel/owl.transitions.css HTTP/1.1" 200 1117 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/jquery.fs.wallpaper/jquery.fs.wallpaper.css HTTP/1.1" 200 968 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/logos/web_LogoINTEF_2018_conleyenda.png HTTP/1.1" 200 9627 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/img/logo_sin_fondo-vertical_azul.png HTTP/1.1" 200 3775 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/spectrum-slate.css HTTP/1.1" 200 9576 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css HTTP/1.1" 200 2513 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/portfolio/taller_google_campus.png HTTP/1.1" 200 47969 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/portfolio/sigue_linea_ir_index.png HTTP/1.1" 200 55914 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/portfolio/choca_gira_index.png HTTP/1.1" 200 61136 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/portfolio/sigue_linea_vision_index.png HTTP/1.1" 200 251385 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/portfolio/sigue_pelota_index.png HTTP/1.1" 200 131953 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/carrousel/websim-siguelinea.png HTTP/1.1" 200 164771 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/img/portfolio/drone_cat_mouse_index.png HTTP/1.1" 200 233287 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/jquery-1.10.2.js HTTP/1.1" 200 33393 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/plugins/jquery.easing/jquery.easing.1.3.js HTTP/1.1" 200 2316 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/bootstrap/bootstrap.min.js HTTP/1.1" 200 9903 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/modernizr.custom.js HTTP/1.1" 200 4910 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/plugins/jquery.fitvids/jquery.fitvids.js HTTP/1.1" 200 1623 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
217.127.138.58 - - [11/Oct/2019:10:21:12 +0200] "GET /static/assets/js/plugins/jquery.fs.wallpaper/jquery.fs.wallpaper.min.js HTTP/1.1" 200 3752 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
